m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03
2852175.0,195389160.0,199390620.0,19834755270.0,13659384825.0,20374968180.0,2242387618170.0,1380051388905.0,1395759942765.0,2304574846590.0,6449558413.037998,66671.77335792541,6435914880.681271,-56752319.09266826,-6571172725.037198,-43086561.52496742,-19651280678.838783,0.0007928255595694458,8.195768242540152e-09,0.0007911483996024378,-4.130885818197551e-09,-4.783022905981917e-07,-3.1361831340805563e-09,-1.4303767310915372e-06
2817750.0,188604120.0,197037480.0,18903696720.0,13198963710.0,20163113160.0,2120362621680.0,1316860825500.0,1355975232150.0,2283100895730.0,6279612226.707693,10398179.907693243,6384826042.707692,14414059692.11041,-6414498263.729934,4917162295.181277,-19796477489.13891,0.0007909115348946054,1.309641445044394e-06,0.0008041631207729115,1.0815090803032414e-06,-4.812896759134748e-07,3.6894225396291943e-07,-1.4853601705452437e-06
2853960.0,195630900.0,199479615.0,19861957140.0,13672155225.0,20379170835.0,2245305245550.0,1381451519955.0,1396430100105.0,2304662578575.0,6452011298.148679,-1609163.464974133,6436397705.541904,-710152421.1046952,-6593848319.2229595,-279573852.54331756,-19507845944.54264,0.0007921352783867468,-1.9756244842020327e-07,0.0007902183447431661,-5.160976329635407e-08,-4.792026906530659e-07,-2.0317807733676988e-08,-1.4177172135151505e-06
2817240.0,194706525.0,196940070.0,19735647225.0,13601611260.0,20149370700.0,2216891551035.0,1371913341090.0,1386184620600.0,2281355538030.0,6278990753.56852,-9411110.460716588,6382211646.598481,-15002157017.760359,-6412586682.717524,-5073170865.404245,-19493836885.089985,0.0007911196131333475,-1.185750124350149e-06,0.0008041248995187005,-1.1261444261055222e-06,-4.813640292600352e-07,-3.808201104676092e-07,-1.4633146237281297e-06
2819535.0,190938900.0,197180790.0,19219532580.0,13358459070.0,20174645280.0,2157297647880.0,1338410440470.0,1368462816750.0,2284112082930.0,6289150962.743962,5376684.524734543,6385043822.658947,3948410200.7697954,-6412678949.598739,1483887437.9936383,-19838201266.931095,0.000791110300986055,6.763314377198508e-07,0.0008031726333611485,2.9578663056873464e-07,-4.803920066489191e-07,1.1116222558178942e-07,-1.4861360423357053e-06
2817240.0,192986805.0,194585145.0,19617670965.0,13329012945.0,19719138525.0,2220342770505.0,1349951485725.0,1350716898825.0,2214915266355.0,6397673057.790098,-474579.67369572166,6279254576.642381,-16377736.399112301,-4964735135.461136,-19584038.69721961,-14483277516.999748,0.000806072955523315,-5.979452790908025e-08,0.0007911528534447798,-1.2294029809347552e-09,-3.7268032812020737e-07,-1.470085667907586e-09,-1.0871944766475734e-06
2783325.0,186256335.0,192274845.0,18689355195.0,12875092035.0,19509115935.0,2098383353895.0,1287370571475.0,1311514028595.0,2193431587755.0,6225333807.7627125,8320119.254238066,6226579393.355016,14535251174.381773,-4822120038.454072,4840919122.273035,-14553975542.212626,0.0008035905162379819,1.0739936416482016e-06,0.0008037513013139388,1.1246379639871036e-06,-3.731025489058371e-07,3.7455709297235065e-07,-1.1260867270433176e-06
2817495.0,193104360.0,194539755.0,19632787620.0,13332309840.0,19710626115.0,2222001515160.0,1350492993270.0,1350547679040.0,2213754999015.0,6397877229.383655,-979086.4512626103,6278227379.435244,-573099472.2994313,-4959123534.722417,-236226045.77898648,-14192169575.521044,0.0008059527732484361,-1.2333738400308268e-07,0.0007908802538912662,-4.3010265510607416e-08,-3.7217486708288625e-07,-1.7728414421164688e-08,-1.0651012801767158e-06
2781285.0,192248835.0,192058095.0,19512755805.0,13268532300.0,19484877165.0,2194104917805.0,1341722507970.0,1340870688120.0,2190755168445.0,6224072854.904191,-6966261.30145638,6222549911.57972,-15106321522.018415,-4742955608.694806,-5006876149.642333,-14128744472.856024,0.0008046067663183511,-9.005519552485649e-07,0.0008044098903286006,-1.1709679005587407e-06,-3.676506397312924e-07,-3.8810846470855136e-07,-1.0951909257853913e-06
2784090.0,188443470.0,192311820.0,18989897430.0,13019743845.0,19510068870.0,2133611577120.0,1307296467315.0,1322371538445.0,2193337015650.0,6234942889.866276,2956786.099102097,6226074418.774502,4229727578.591522,-4836441621.761235,1407658816.8567505,-14462394058.3702,0.0008043886592445604,3.8146383181718293e-07,0.0008032445112231477,3.2704252028697903e-07,-3.739536477969449e-07,1.0884017436468513e-07,-1.1182322535788053e-06
2853195.0,195684195.0,197435535.0,19871667285.0,13540774890.0,20109637365.0,2246570708295.0,1371763741260.0,1378765448640.0,2274118359315.0,6450816564.037001,-190144.24032544062,6447483014.969165,-1161013099.9812331,-3290836261.2591424,-412321211.80263066,-9735891355.7273,0.000792413350486835,-2.335717239148457e-08,0.0007920038598805477,-8.443227362990433e-08,-2.3931925288899373e-07,-2.998520635029543e-08,-7.08022539100614e-07
2818260.0,188835150.0,195077040.0,18933455730.0,13076114910.0,19899287610.0,2123794821720.0,1308004689270.0,1338642113580.0,2252897296800.0,6280714721.178066,5141291.541801219,6396256826.764386,13506428968.924276,-3238494076.6106563,4595270279.880342,-9995347156.715445,0.000790764117726264,6.473067239174612e-07,0.000805311276010037,1.0129497398820804e-06,-2.4287927919808204e-07,3.446342364367669e-07,-7.496270350750154e-07
4855200.0,332581200.0,332581200.0,30483442560.0,22781812200.0,30483442560.0,3143239174680.0,2088115815360.0,2088115815360.0,3143239174680.0,7701630360.0,0.0,7701630360.0,0.0,0.0,0.0,0.0,0.000326714509333145,0.0,0.000326714509333145,0.0,0.0,0.0,0.0
3667410.0,251160720.0,250932240.0,23866076790.0,17182330950.0,23951735370.0,2541749215920.0,1632484695330.0,1638086081940.0,2568004512660.0,6665461840.780144,-2636661.9148918195,6782400861.063829,-5668558552.2898035,-123509674.84759468,-1875595052.158414,1040718164.51707,0.0004955771990510743,-1.9603585735535375e-07,0.00050427161715987,-2.2007665416276395e-07,-4.795151315180394e-09,-7.281827996228759e-08,4.040494059654907e-08
3666900.0,248853480.0,250897305.0,23554785030.0,17023714320.0,23946949275.0,2505021214020.0,1611071354910.0,1625445450930.0,2567348817645.0,6666390334.7232275,-3384175.1515987483,6780007810.476011,1653493865.1322641,-139137973.50746083,753339987.007415,1040379693.6057956,0.0004957841131754705,-2.516834736823895e-07,0.000504233924336981,6.421772583982981e-08,-5.40378432906789e-09,2.9257913663897e-08,4.040584567149808e-08
3667410.0,251367015.0,249654945.0,24007971795.0,17109407835.0,23666894505.0,2574334750215.0,1633271513385.0,1621859209725.0,2518708696275.0,6779089223.91844,-2128182.1453902046,6671905790.088654,-477188342.0281764,-753307525.6017088,2366980.7094761357,-754846690.2275888,0.0005040253968828677,-1.5823037801076682e-07,0.000496056306789656,-1.8526405390417265e-08,-2.9246482727621472e-08,9.189588326628286e-11,-2.930623940084707e-08
3632475.0,245427300.0,247303590.0,23193376080.0,16706626155.0,23453987100.0,2465474521680.0,1577941853085.0,1586191677855.0,2496963576120.0,6611139564.871883,-2381442.8518789853,6617239255.37943,5059533040.478191,-771345663.9647862,1852942019.3697226,-834552465.1131964,0.0005010384526149853,-1.8048241604767683e-07,0.0005015007298764684,2.011888236487307e-07,-3.067202556403454e-08,7.368095478057486e-08,-3.318540019127998e-08
3667665.0,247995915.0,249736545.0,23535093165.0,16883064480.0,23676643665.0,2516974622835.0,1601281430610.0,1604132263800.0,2519718149475.0,6766393227.386497,-3331356.6463896204,6671725847.113955,10561762495.940458,-806144891.249235,3646127025.6310787,-1032985261.7086738,0.0005030114967515026,-2.476519818758373e-07,0.0004959739541428789,4.099795977451683e-07,-3.129240582390644e-08,1.4153297727255045e-07,-4.009774715487003e-08
3638085.0,242468025.0,247732500.0,22750314855.0,16507532100.0,23491417530.0,2410277022015.0,1547932705680.0,1570649186370.0,2500493534490.0,6590510137.023199,-3134913.913227311,6622270284.608537,15555660542.411608,-813995413.0523311,5439914781.38635,-1012268649.3696502,0.000497935796817352,-2.3685357049487978e-07,0.0005003353856300755,6.161782340144554e-07,-3.224332742045644e-08,2.154815010294713e-07,-4.0097166366944286e-08
3647010.0,246902475.0,248245305.0,23339566305.0,16803114585.0,23530952985.0,2480764908945.0,1587459139545.0,1594003767075.0,2504255108595.0,6624275652.897149,-3085620.546425587,6633348795.665992,3750369994.9566317,-804687878.7802944,1378973208.8428416,-493710466.3568086,0.0004980403021987717,-2.3198964987823685e-07,0.0004987224584077317,1.4764941482330427e-07,-3.167999279460169e-08,5.428920016330659e-08,-1.9437031958913798e-08
3718665.0,255126990.0,255819060.0,24345482910.0,17536622085.0,24442108020.0,2607783150450.0,1671219655095.0,1674679433385.0,2619517981680.0,6841948435.54207,-14393336.509976618,6843482852.289653,-1304034094.6832087,-1610324492.451262,-243494269.13602617,-3505011488.9401774,0.0004947726495556084,-1.040848130920237e-06,0.0004948836102632016,-4.890140147570258e-08,-6.038732026454134e-08,-9.131058045645832e-09,-1.3143826123599337e-07
3685260.0,249306870.0,253516920.0,23545844730.0,17138540565.0,24233733750.0,2500805415810.0,1616541344355.0,1639370444775.0,2598329790960.0,6680300527.09521,-11812413.416830113,6793762424.696925,4094062667.6955833,-1629477545.12117,1589930973.6779294,-3475506533.757441,0.0004918806450406449,-8.697658896318624e-07,0.0005002350163976675,1.5703055035305022e-07,-6.249971641062835e-08,6.098288084108303e-08,-1.3330541030988763e-07
3720450.0,251877525.0,255911625.0,23888239605.0,17319447510.0,24451702395.0,2552517682575.0,1640671241340.0,1657929761190.0,2620631263995.0,6835923997.983207,-5979984.988006221,6848788819.991432,9668859525.474075,-1674649094.8333669,3352066035.4728694,-3471800508.6276975,0.0004938627619846856,-4.320252688115045e-07,0.000494792183747025,3.6214839916239534e-07,-6.272420105544167e-08,1.25552072137858e-07,-1.3003674250289239e-07
3680670.0,245636655.0,253274925.0,23047225635.0,16898905335.0,24219274995.0,2440917736845.0,1583679837585.0,1621017396585.0,2597419653375.0,6654186791.640223,-3888279.3082322963,6790875373.801786,14656272899.842361,-1731007809.1111379,5232202857.608149,-3751318182.0776525,0.0004911806224350108,-2.8701440320522545e-07,0.0005012703276038262,5.639055117045181e-07,-6.660116463659952e-08,2.013109369567688e-07,-1.443333522435785e-07
3660780.0,248051760.0,251587590.0,23466651420.0,17040039165.0,24066902040.0,2495466022830.0,1610349277275.0,1630807418295.0,2583001437000.0,6658846624.547226,-7350870.363612795,6776511619.923378,2985885915.053638,-1403268211.32412,1062218296.3044593,-2432906811.078673,0.0004968802692421397,-5.48518782813134e-07,0.0005056603805556139,1.1644990401866431e-07,-5.4727626295863035e-08,4.1426639252324344e-08,-9.488365352745795e-08
2851920.0,195359580.0,199377615.0,19831323990.0,13657876245.0,20374304925.0,2241989589690.0,1379876393625.0,1395683005185.0,2304541020585.0,6448983146.716737,295693.02038523246,6435823704.247585,-1911989.4458520664,-6571196891.924344,-20086794.538341086,-19682199090.14942,0.0007928966159701415,3.635518808089994e-08,0.0007912786744800702,-1.3920093216630344e-10,-4.784109738621213e-07,-1.462403743930724e-09,-1.43294748115652e-06
2817495.0,188580150.0,197009430.0,18901443540.0,13196327010.0,20160027660.0,2120150822760.0,1316612975700.0,1355685195150.0,2282761490730.0,6279425408.992668,10121582.549550971,6384416519.989139,14455150159.683449,-6399159939.440677,4921792004.823433,-19743421275.920704,0.0007910311719551211,1.275035020679733e-06,0.0008042571020629096,1.0848375830275585e-06,-4.802474637359024e-07,3.6937319112525496e-07,-1.481714487989361e-06
2853960.0,195630900.0,199479615.0,19861957140.0,13672155225.0,20379170835.0,2245305245550.0,1381451519955.0,1396430100105.0,2304662578575.0,6452011298.148679,-1609163.464974133,6436397705.541904,-710152421.1046952,-6593848319.2229595,-279573852.54331756,-19507845944.54264,0.0007921352783867468,-1.9756244842020327e-07,0.0007902183447431661,-5.160976329635407e-08,-4.792026906530659e-07,-2.0317807733676988e-08,-1.4177172135151505e-06
4820775.0,327829530.0,330205620.0,29832532620.0,22456287870.0,30267264780.0,3054064650600.0,2043528414600.0,2058489887310.0,3121108271400.0,7538980081.244114,1152915.9814845969,7649376270.45861,-5647422.933892037,-48779889.68338023,52273879.399384595,1187915.6619649702,0.00032439852555129285,4.960939549483531e-08,0.0003291488181136462,-1.106771985558869e-10,-9.559796741309448e-10,1.0244542683090605e-09,2.3280561616506383e-11
2819280.0,190934055.0,197161920.0,19219440525.0,13358100540.0,20173248900.0,2157295898835.0,1338403628400.0,1368436285530.0,2284008750810.0,6288545630.295315,5427205.9623733675,6385039606.107091,3894764942.9390917,-6412875146.380703,1455960164.359286,-19831173494.83096,0.0007911772587849578,6.828100150034685e-07,0.0008033174011581376,2.9183389132240707e-07,-4.805153419915382e-07,1.090947789148842e-07,-1.485945523099776e-06
2816985.0,192964620.0,194556330.0,19615740870.0,13326506040.0,19715882430.0,2220174852240.0,1349733384990.0,1350433618560.0,2214547327620.0,6397585795.782565,-681817.6011586706,6278762408.74717,14146024.247938199,-4943129279.537612,-18179092.172370303,-14429990565.187778,0.0008062079007646362,-8.592096370116332e-08,0.0007912340721234165,1.0621187167254878e-09,-3.7114245211023835e-07,-1.3649314967183464e-09,-1.0834396147519666e-06
4786095.0,325454460.0,325454460.0,29616355860.0,22130903280.0,29616355860.0,3031933749360.0,2013912198480.0,2013912198480.0,3031933749360.0,7485452580.0,0.0,7485452580.0,0.0,0.0,0.0,0.0,0.00032677997407071945,0.0,0.00032677997407071945,0.0,0.0,0.0,0.0
2817495.0,193104360.0,194539755.0,19632787620.0,13332309840.0,19710626115.0,2222001515160.0,1350492993270.0,1350547679040.0,2213754999015.0,6397877229.383655,-979086.4512626103,6278227379.435244,-573099472.2994313,-4959123534.722417,-236226045.77898648,-14192169575.521044,0.0008059527732484361,-1.2333738400308268e-07,0.0007908802538912662,-4.3010265510607416e-08,-3.7217486708288625e-07,-1.7728414421164688e-08,-1.0651012801767158e-06
4786095.0,325454460.0,325454460.0,29616355860.0,22130903280.0,29616355860.0,3031933749360.0,2013912198480.0,2013912198480.0,3031933749360.0,7485452580.0,0.0,7485452580.0,0.0,0.0,0.0,0.0,0.00032677997407071945,0.0,0.00032677997407071945,0.0,0.0,0.0,0.0
2789190.0,187984470.0,197680335.0,18907999590.0,13335385395.0,20196442935.0,2123349446370.0,1328801267565.0,1365544664325.0,2269988584845.0,6238313781.151948,12222396.280856574,6186097692.936093,8103621821.131997,-12926952636.93549,2622139934.828106,-38272714587.39869,0.0008018830187053666,1.571086734225912e-06,0.0007951710776404554,6.237117368041274e-07,-9.94949204038923e-07,2.018183337023792e-07,-2.9457373276311814e-06
